KiCad_X_mm,KiCad_Y_mm,Nominal_pre_fill_bore_mm,Copper_land_mm,Net,UUID,Required_finish
42.5,32.049999,0.2,0.45,/UART_TX,2668b000-152c-4279-88ec-20ceca97bf2e,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
43.6,29.75,0.2,0.45,/UART_TX,7893dea6-ebd7-40e7-8184-f905dabbd220,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
58.7021,35.0942,0.2,0.45,/UART_TX,b498ed09-7b2e-418a-95c7-79c2cc8df935,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
45.9369,35.0,0.2,0.45,/HAPTIC_PWM,142119c3-e3ce-4d23-a909-60cdd205549f,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
56.8502,37.5975,0.2,0.45,/HAPTIC_PWM,6b5993e3-39ab-4cfa-a958-5d50ab4b5ea7,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
39.6029,35.6451,0.2,0.45,/VBUSOUT,2e65bac9-067d-441c-8e52-c58d189cce28,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
63.0,38.45,0.2,0.45,/VBUSOUT,3e4f0234-4012-4b11-b1b3-136b4ad3ee2c,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
63.4919,35.978,0.2,0.45,/VBUSOUT,520cdee6-5d29-4a54-ad73-bd8ddebce94a,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
36.1413,32.5318,0.2,0.45,/VBUSOUT,7cf14bb2-59d4-44f1-a1eb-1276a66e9a91,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
62.15,38.05,0.2,0.45,/VBUSOUT,d054f7f2-8969-4e9b-9d96-57438fb6910f,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
31.9169,29.4363,0.2,0.45,/VBUSOUT,dec3e841-15b3-4d1d-aebc-278eec51fb4b,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
64.95,35.65,0.2,0.45,/USB_MCU_D-,6f1c0c2f-55c4-4197-a3e7-6d8a9eedcd4a,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
64.95,34.85,0.2,0.45,/USB_MCU_D+,e87150e1-d648-485c-b05e-81f383ac9a24,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
